Fecha,Precio
2/1/20,1367.3700
3/1/20,1360.6600
6/1/20,1394.2100
7/1/20,1393.3400
8/1/20,1404.3200
9/1/20,1419.8300
10/1/20,1429.7300
13/1/20,1439.2300
14/1/20,1430.8800
15/1/20,1439.2000
16/1/20,1451.7000
17/1/20,1480.3900
21/1/20,1484.4000
22/1/20,1485.9500
23/1/20,1486.6500
24/1/20,1466.7100
27/1/20,1433.9000
28/1/20,1452.5600
29/1/20,1458.6300
30/1/20,1455.8400
31/1/20,1434.2300
3/2/20,1485.9400
4/2/20,1447.0700
5/2/20,1448.2300
6/2/20,1476.2300
7/2/20,1479.2300
10/2/20,1508.6800
11/2/20,1508.7900
12/2/20,1518.2700
13/2/20,1514.6600
14/2/20,1520.7400
18/2/20,1519.6700
19/2/20,1526.6900
20/2/20,1518.1500
21/2/20,1485.1100
24/2/20,1421.5900
25/2/20,1388.4500
26/2/20,1393.1800
27/2/20,1318.0900
28/2/20,1339.3300
2/3/20,1389.1100
3/3/20,1341.3900
4/3/20,1386.5200
5/3/20,1319.0400
6/3/20,1298.4100
9/3/20,1215.5600
10/3/20,1280.3900
11/3/20,1215.4100
12/3/20,1114.9100
13/3/20,1219.7300
16/3/20,1084.3300
17/3/20,1119.8000
18/3/20,1096.8000
19/3/20,1115.2900
20/3/20,1072.3200
23/3/20,1056.6200
24/3/20,1134.4600
25/3/20,1102.4900
26/3/20,1161.7500
27/3/20,1110.7100
30/3/20,1146.8200
31/3/20,1162.8100
1/4/20,1105.6200
2/4/20,1120.8400
3/4/20,1097.8800
6/4/20,1186.9200
7/4/20,1186.5100
8/4/20,1210.2800
9/4/20,1211.4500
13/4/20,1217.5600
14/4/20,1269.2300
15/4/20,1262.4700
16/4/20,1263.4700
17/4/20,1283.2500
20/4/20,1266.6100
21/4/20,1216.3400
22/4/20,1263.2100
23/4/20,1276.3100
24/4/20,1279.3100
27/4/20,1275.8800
28/4/20,1233.6700
29/4/20,1341.4800
30/4/20,1348.6600
1/5/20,1320.6100
4/5/20,1326.8000
5/5/20,1351.1100
6/5/20,1347.3000
7/5/20,1372.5600
8/5/20,1388.3700
11/5/20,1403.2600
12/5/20,1375.7400
13/5/20,1349.3300
14/5/20,1356.1300
15/5/20,1373.1900
18/5/20,1383.9400
19/5/20,1373.4900
20/5/20,1406.7200
21/5/20,1402.8000
22/5/20,1410.4200
26/5/20,1417.0200
27/5/20,1417.8400
28/5/20,1416.7300
29/5/20,1428.9200
1/6/20,1431.8200
2/6/20,1439.2200
3/6/20,1436.3800
4/6/20,1412.1800
5/6/20,1438.3900
8/6/20,1446.6100
9/6/20,1456.1600
10/6/20,1465.8500
11/6/20,1403.8400
12/6/20,1413.1800
15/6/20,1419.8500
16/6/20,1442.7200
17/6/20,1451.1200
18/6/20,1435.9600
19/6/20,1431.7200
22/6/20,1451.8600
23/6/20,1464.4100
24/6/20,1431.9700
25/6/20,1441.3300
26/6/20,1359.9000
29/6/20,1394.9700
30/6/20,1413.6100
1/7/20,1438.0400
2/7/20,1464.7000
6/7/20,1495.7000
7/7/20,1485.1800
8/7/20,1496.0000
9/7/20,1510.9900
10/7/20,1541.7400
13/7/20,1511.3400
14/7/20,1520.5800
15/7/20,1513.6400
16/7/20,1518.0000
17/7/20,1515.5500
20/7/20,1565.7200
21/7/20,1558.4200
22/7/20,1568.4900
23/7/20,1515.6800
24/7/20,1511.8700
27/7/20,1530.2000
28/7/20,1500.3400
29/7/20,1522.0200
30/7/20,1531.4500
31/7/20,1482.9600
3/8/20,1474.4500
4/8/20,1464.9700
5/8/20,1473.6100
6/8/20,1500.1000
7/8/20,1494.4900
10/8/20,1496.1000
11/8/20,1480.3200
12/8/20,1506.6200
13/8/20,1518.4500
14/8/20,1507.7300
17/8/20,1517.9800
18/8/20,1558.6000
19/8/20,1547.5300
20/8/20,1581.7500
21/8/20,1580.4200
24/8/20,1588.2000
25/8/20,1608.2200
26/8/20,1652.3800
27/8/20,1634.3300
28/8/20,1644.4100
31/8/20,1634.1800
1/9/20,1660.7100
2/9/20,1728.2800
3/9/20,1641.8400
4/9/20,1591.0400
8/9/20,1532.3900
9/9/20,1556.9600
10/9/20,1532.0200
11/9/20,1520.7200
14/9/20,1519.2800
15/9/20,1541.4400
16/9/20,1520.9000
17/9/20,1495.5300
18/9/20,1459.9900
21/9/20,1431.1600
22/9/20,1465.4600
23/9/20,1415.2100
24/9/20,1428.2900
25/9/20,1444.9600
28/9/20,1464.5200
29/9/20,1469.3300
30/9/20,1469.6000
1/10/20,1490.0900
2/10/20,1458.4200
5/10/20,1486.0200
6/10/20,1453.4400
7/10/20,1460.2900
8/10/20,1485.9300
9/10/20,1515.2200
12/10/20,1569.1500
13/10/20,1571.6800
14/10/20,1568.0800
15/10/20,1559.1300
16/10/20,1573.0100
19/10/20,1534.6100
20/10/20,1555.9300
21/10/20,1593.3100
22/10/20,1615.3300
23/10/20,1641.0000
26/10/20,1590.4500
27/10/20,1604.2600
28/10/20,1516.6200
29/10/20,1567.2400
30/10/20,1621.0100
2/11/20,1626.0300
3/11/20,1650.2100
4/11/20,1749.1300
5/11/20,1763.3700
6/11/20,1761.7500
9/11/20,1763.0000
10/11/20,1740.3900
11/11/20,1752.7100
12/11/20,1749.8400
13/11/20,1777.0200
16/11/20,1781.3800
17/11/20,1770.1500
18/11/20,1746.7800
19/11/20,1763.9200
20/11/20,1742.1900
23/11/20,1734.8600
24/11/20,1768.8800
25/11/20,1771.4300
27/11/20,1793.1900
30/11/20,1760.7400
1/12/20,1798.1000
2/12/20,1827.9500
3/12/20,1826.7700
4/12/20,1827.9900
7/12/20,1819.4800
8/12/20,1818.5500
9/12/20,1784.1300
10/12/20,1775.3300
11/12/20,1781.7700
14/12/20,1760.0600
15/12/20,1767.7700
16/12/20,1763.0000
17/12/20,1747.9000
18/12/20,1731.0100
21/12/20,1739.3700
22/12/20,1723.5000
23/12/20,1732.3800
24/12/20,1738.8500
28/12/20,1776.0900
29/12/20,1758.7200
30/12/20,1739.5200
31/12/20,1751.8800
